val,target
2094, 0
2095, 0
2096, 0
2096, 0
2091, 0
2088, 0
2085, 0
2083, 0
2083, 0
2088, 0
2090, 0
2095, 0
2096, 0
2095, 0
2093, 0
2087, 0
2084, 0
2077, 0
2078, 0
2080, 0
2083, 0
2086, 0
2086, 0
2081, 0
2078, 0
2076, 0
2065, 0
2060, 0
2060, 0
2064, 0
2065, 0
2069, 0
2071, 0
2067, 0
2062, 0
2053, 0
2044, 0
2040, 0
2039, 0
2045, 0
2050, 0
2054, 0
2057, 0
2056, 0
2051, 0
2043, 0
2047, 0
2049, 0
2050, 0
2058, 0
2069, 0
2077, 0
2083, 0
2090, 0
2090, 0
2089, 0
2088, 0
2083, 0
2086, 0
2087, 0
2089, 0
2095, 0
2100, 0
2100, 0
2097, 0
2093, 0
2092, 0
2090, 0
2093, 0
2094, 0
2098, 0
2100, 0
2101, 0
2101, 0
2097, 0
2094, 0
2091, 0
2086, 0
2082, 0
2081, 0
2084, 0
2084, 0
2082, 0
2077, 0
2069, 0
2059, 0
2046, 0
2034, 0
2033, 0
2035, 0
2042, 0
2050, 0
2053, 0
2053, 0
2049, 0
2042, 0
2033, 0
2029, 0
2025, 0
2033, 0
2040, 0
2049, 0
2053, 0
2053, 0
2049, 0
2040, 0
2035, 0
2030, 0
2030, 0
2033, 0
2040, 0
2047, 0
2056, 0
2055, 0
2050, 0
2045, 0
2038, 0
2031, 0
2029, 0
2034, 0
2043, 0
2050, 0
2055, 0
2060, 0
2055, 0
2049, 0
2042, 0
2039, 0
2038, 0
2042, 0
2054, 0
2060, 0
2065, 0
2067, 0
2065, 0
2059, 0
2055, 0
2052, 0
2049, 0
2050, 0
2059, 0
2065, 0
2072, 0
2074, 0
2073, 0
2068, 0
2064, 0
2059, 0
2058, 0
2058, 0
2067, 0
2075, 0
2077, 0
2083, 0
2080, 0
2076, 0
2073, 0
2066, 0
2063, 0
2069, 0
2074, 0
2081, 0
2088, 0
2093, 0
2093, 0
2091, 0
2090, 1
2088, 1
2088, 1
2091, 1
2095, 1
2103, 1
2110, 1
2117, 1
2116, 1
2114, 1
2114, 1
2116, 1
2114, 1
2106, 1
2112, 1
2107, 1
2103, 1
2095, 1
2039, 1
2105, 1
2051, 1
2205, 1
2179, 1
2182, 1
2196, 1
2210, 1
2157, 1
2185, 1
2182, 1
2188, 1
2178, 0
2169, 0
2154, 0
2189, 0
2181, 0
2183, 0
2176, 0
2186, 0
2199, 0
2177, 0
2185, 0
2178, 0
2162, 0
2166, 0
2162, 0
2180, 0
2175, 0
2183, 0
2182, 0
2180, 0
2182, 0
2170, 0
2165, 0
2169, 0
2165, 0
2167, 0
2165, 0
2173, 0
2191, 0
2195, 0
2176, 0
2189, 0
2167, 0
2165, 0
2167, 0
2181, 0
2183, 0
2187, 0
2183, 0
2185, 0
2182, 0
2176, 0
2182, 0
2176, 0
2197, 0
2182, 0
2190, 0
2198, 0
2171, 0
2181, 0
2176, 0
2168, 0
2192, 0
2162, 0
2192, 0
2190, 0
2178, 0
2189, 0
2196, 0
2179, 0
2175, 0
2174, 0
2171, 0
2171, 0
2157, 0
2189, 0
2190, 0
2179, 0
2183, 0
2200, 0
2193, 0
2171, 0
2182, 0
2175, 0
2184, 0
2185, 0
2205, 0
2198, 0
2176, 0
2187, 0
2179, 0
2182, 0
2181, 0
2196, 0
2167, 0
2186, 0
2176, 0
2200, 0
2181, 0
2184, 0
2179, 0
2207, 0
2191, 0
2166, 0
2208, 0
2191, 0
2184, 0
2192, 0
2183, 0
2181, 0
2186, 0
2174, 0
2177, 0
2187, 0
2183, 0
2183, 0
2180, 0
2188, 0
2185, 0
2190, 0
2185, 0
2187, 0
2178, 0
2187, 0
2187, 0
2180, 0
2196, 0
2189, 0
2211, 0
2190, 2
2046, 2
2045, 2
2037, 2
2042, 2
2079, 2
2106, 2
2099, 2
2120, 2
2119, 2
2117, 2
2119, 2
2107, 2
2101, 2
2097, 2
2098, 2
2094, 2
2098, 2
2098, 2
2100, 2
2102, 2
2097, 2
2097, 2
2093, 2
2091, 2
2091, 2
2095, 2
2098, 2
2099, 2
2102, 2
2104, 0
2103, 0
2099, 0
2095, 0
2094, 0
2094, 0
2098, 0
2100, 0
2103, 0
2106, 0
2101, 0
2105, 0
2101, 0
2098, 0
2093, 0
2096, 0
2097, 0
2100, 0
2101, 0
2106, 0
2106, 0
2104, 0
2102, 0
2098, 0
2095, 0
2093, 0
2093, 0
2097, 0
2099, 0
2101, 0
2101, 0
2102, 0
2098, 0
2098, 0
2092, 0
2091, 0
2094, 0
2097, 0
2100, 0
2101, 0
2104, 0
2101, 0
2099, 0
2097, 0
2094, 0
2091, 0
2092, 0
2098, 0
2100, 0
2104, 0
2104, 0
2103, 0
2099, 0
2098, 0
2096, 0
2093, 0
2094, 0
2096, 0
2098, 0
2103, 0
2105, 0
2105, 0
2101, 0
2100, 0
2094, 0
2093, 0
2092, 0
2093, 0
2097, 0
2099, 0
2103, 0
2102, 0
2099, 0
2096, 0
2095, 0
2092, 0
2093, 0
2095, 0
2098, 0
2099, 0
2103, 0
2103, 0
2101, 0
2098, 0
2094, 0
2092, 0
2089, 0
2092, 0
2096, 0
2098, 0
2102, 0
2104, 0
2100, 0
2098, 0
2095, 0
2092, 0
2092, 0
2092, 0
2095, 0
2100, 0
2104, 0
2104, 0
2101, 0
2097, 0
2095, 0
2094, 0
2092, 0
2093, 0
2098, 0
2100, 0
2103, 0
2104, 0
2102, 0
2100, 0
2096, 0
2092, 0
2092, 0
2095, 0
2096, 0
2100, 0
2099, 0
2103, 0
2103, 0
2100, 0
2096, 0
2093, 0
2090, 0
2091, 0
2095, 0
2098, 0
2101, 0
2103, 0
2099, 0
2096, 0
2096, 0
2092, 0
2088, 0
2091, 0
2095, 0
2099, 0
2102, 0
2103, 0
2102, 0
2099, 0
2095, 0
2093, 0
2089, 0
2089, 0
2094, 0
2097, 0
2097, 0
2102, 0
2102, 0
2099, 0
2096, 0
2093, 0
2089, 0
2089, 0
2092, 0
2096, 0
2098, 0
2100, 0
2097, 0
2099, 0
2096, 0
2092, 0
2089, 0
2089, 0
2090, 0
2096, 0
2100, 0
2101, 0
2101, 0
2099, 0
2094, 0
2091, 0
2092, 0
2090, 0
2094, 0
2095, 0
2102, 0
2106, 0
2109, 0
2109, 0
2116, 0
2115, 0
2116, 0
2115, 1
2118, 1
2118, 1
2121, 1
2122, 1
2122, 1
2123, 1
2110, 1
2063, 1
2098, 1
2101, 1
1961, 1
2094, 1
2078, 1
1992, 1
2020, 1
2055, 1
2034, 1
2001, 1
2007, 1
2016, 1
2213, 1
2203, 1
2200, 1
2195, 1
2188, 1
2200, 1
2205, 1
2224, 1
2241, 1
2231, 0
2215, 0
2208, 0
2206, 0
2211, 0
2199, 0
2200, 0
2194, 0
2218, 0
2201, 0
2218, 0
2202, 0
2209, 0
2226, 0
2222, 0
2222, 0
2219, 0
2212, 0
2197, 0
2232, 0
2205, 0
2209, 0
2240, 0
2217, 0
2233, 0
2232, 0
2227, 0
2231, 0
2218, 0
2231, 0
2197, 0
2223, 0
2224, 0
2227, 0
2219, 0
2251, 0
2214, 0
2232, 0
2232, 0
2218, 0
2213, 0
2212, 0
2229, 0
2207, 0
2204, 0
2229, 0
2210, 0
2212, 0
2229, 0
2221, 0
2218, 0
2207, 0
2221, 0
2239, 0
2214, 0
2215, 0
2230, 0
2218, 0
2219, 0
2201, 0
2202, 0
2220, 0
2205, 0
2206, 0
2196, 0
2216, 0
2198, 0
2211, 0
2208, 0
2219, 0
2235, 0
2235, 0
2208, 0
2230, 0
2224, 0
2204, 0
2208, 0
2223, 0
2215, 0
2247, 0
2247, 0
2226, 0
2233, 0
2233, 0
2245, 0
2203, 0
2214, 0
2214, 0
2235, 0
2211, 0
2200, 0
2200, 0
2219, 0
2221, 0
2227, 0
2226, 0
2212, 0
2229, 0
2226, 0
2216, 0
2219, 0
2220, 0
2221, 0
2220, 0
2217, 0
2202, 0
2212, 0
2230, 0
2244, 0
2195, 0
2221, 0
2218, 0
2231, 0
2210, 0
2243, 0
2212, 0
2233, 0
2215, 0
2239, 0
2236, 0
2231, 0
2237, 0
2245, 0
2222, 0
2246, 0
2218, 0
2219, 0
2217, 0
2226, 0
2223, 0
2222, 0
2238, 0
2232, 0
2220, 0
2201, 0
2214, 0
2259, 0
2232, 0
2233, 0
2233, 2
2073, 2
2076, 2
2077, 2
2076, 2
2081, 2
2076, 2
2101, 2
2103, 2
2088, 2
2103, 2
2108, 2
2114, 2
2110, 2
2106, 2
2105, 2
2108, 2
2106, 2
2104, 2
2103, 2
2100, 2
2098, 2
2091, 2
2094, 2
2093, 2
2100, 2
2101, 2
2101, 2
2105, 2
2105, 2
2102, 0
2101, 0
2098, 0
2098, 0
2099, 0
2100, 0
2106, 0
2108, 0
2107, 0
2108, 0
2108, 0
2101, 0
2099, 0
2099, 0
2102, 0
2105, 0
2107, 0
2109, 0
2109, 0
2110, 0
2108, 0
2105, 0
2101, 0
2101, 0
2101, 0
