f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,diff,diff2,std,target
2079,2085,2092,2095,2092,2088,2080,2074,2074,2075,2080,2086,2094,2094,2094,15,20,7.909006318898788,0
2085,2092,2095,2092,2088,2080,2074,2074,2075,2080,2086,2094,2094,2094,2088,3,14,7.722570507162446,0
2092,2095,2092,2088,2080,2074,2074,2075,2080,2086,2094,2094,2094,2088,2079,-13,4,7.934253648099546,0
2095,2092,2088,2080,2074,2074,2075,2080,2086,2094,2094,2094,2088,2079,2077,-18,-3,8.023774198028779,0
2092,2088,2080,2074,2074,2075,2080,2086,2094,2094,2094,2088,2079,2077,2075,-17,-11,7.8437114635744685,0
2088,2080,2074,2074,2075,2080,2086,2094,2094,2094,2088,2079,2077,2075,2075,-13,-19,7.729350370041272,0
2080,2074,2074,2075,2080,2086,2094,2094,2094,2088,2079,2077,2075,2075,2080,0,-14,7.575021609272965,0
2074,2074,2075,2080,2086,2094,2094,2094,2088,2079,2077,2075,2075,2080,2087,13,-7,7.6799057533899715,0
2074,2075,2080,2086,2094,2094,2094,2088,2079,2077,2075,2075,2080,2087,2091,17,3,7.64821796860145,0
2075,2080,2086,2094,2094,2094,2088,2079,2077,2075,2075,2080,2087,2091,2094,19,15,7.660660172969056,0
2080,2086,2094,2094,2094,2088,2079,2077,2075,2075,2080,2087,2091,2094,2093,13,16,7.456540752922899,0
2086,2094,2094,2094,2088,2079,2077,2075,2075,2080,2087,2091,2094,2093,2087,1,12,7.284687135812125,0
2094,2094,2094,2088,2079,2077,2075,2075,2080,2087,2091,2094,2093,2087,2082,-12,7,7.367883976130073,0
2094,2094,2088,2079,2077,2075,2075,2080,2087,2091,2094,2093,2087,2082,2076,-18,-4,7.437357441610946,0
2094,2088,2079,2077,2075,2075,2080,2087,2091,2094,2093,2087,2082,2076,2071,-23,-16,7.768679485754381,0
2088,2079,2077,2075,2075,2080,2087,2091,2094,2093,2087,2082,2076,2071,2076,-12,-15,7.372406727275765,0
2079,2077,2075,2075,2080,2087,2091,2094,2093,2087,2082,2076,2071,2076,2079,0,-15,7.219682092987857,0
2077,2075,2075,2080,2087,2091,2094,2093,2087,2082,2076,2071,2076,2079,2087,10,-6,7.319250547113999,0
2075,2075,2080,2087,2091,2094,2093,2087,2082,2076,2071,2076,2079,2087,2091,16,4,7.525828541635482,0
2075,2080,2087,2091,2094,2093,2087,2082,2076,2071,2076,2079,2087,2091,2094,19,12,7.692296703288854,0
2080,2087,2091,2094,2093,2087,2082,2076,2071,2076,2079,2087,2091,2094,2094,14,18,7.633260552782583,0
2087,2091,2094,2093,2087,2082,2076,2071,2076,2079,2087,2091,2094,2094,2087,0,16,7.487767802667673,0
2091,2094,2093,2087,2082,2076,2071,2076,2079,2087,2091,2094,2094,2087,2083,-8,7,7.518231808331632,0
